event_id,event_name,date,year,country,state,city
1928,Donnybrook 2023,August 18,2023,United States,Missouri,Kansas City
1867,Bothnia Open 2023,August 12,2023,Finland,-,Pietarsaari
1874,Ciudad de los Reyes 2023,August 5,2023,Peru,Lima,Lima
1915,Hemageddon 2023,August 5,2023,United States,Ohio,Columbus
1940,Torneio Estadual – Copa Ignis 2023 - Longsword,July 23,2023,Brazil,-,Curitiba
1871,IV Open Nacional Princesa Kristina,July 23,2023,Spain,-,Burgos
1850,Bratislava Fecht 5,July 22,2023,Slovakia,-,Bratislava
1857,MidSummer FightNight 2023,July 22,2023,Romania,-,Bucharest
1875,Woody and David Host a Rapier Comp 2023,July 22,2023,Australia,Victoria,Melbourne
1904,Musketeer Challenge 2023,July 22,2023,United States,Ohio,Columbus
1879,A Midsummer Fight's Dream 2023,July 22,2023,United Kingdom,-,Oxford
1864,Combat Con 2023,July 20,2023,United States,Nevada,Las Vegas
1856,4. Freifechttag 2023,July 15,2023,Germany,-,Dresden
1886,Queens Gambit 2023,July 14,2023,United States,North Carolina,Charlotte
1938,2. Dresdner HEMA-Cup 2023,July 8,2023,Germany,-,Dresden
1842,Revolution Rumble 2023,July 1,2023,United States,Pennsylvania,Philadelphia
1847,Steel & Chill II. 2023,July 1,2023,Croatia,-,Svetvincenat
1883,Swedish Championships 2023,June 30,2023,Sweden,-,Umeå
1952,The Duelling Arts - Summer Tournament 2023,June 30,2023,Canada,British Columbia,Vancouver
1885,Clash of Steel 2023,June 25,2023,Taiwan,-,New Taipei City
1834,War in the West 2023,June 25,2023,Australia,West Australia,Perth
1882,North Gold Coast Classic 2023,June 25,2023,Australia,Queensland,Brisbane
1854,Black Horns Cup 2023,June 23,2023,Poland,-,Kórnik near Poznan
1835,Saarländische Fechtschul 2023,June 18,2023,Germany,-,Püttlingen
1851,ŠaTeM 2023,June 17,2023,Czech Republic,-,Praha
1884,5 Torneo de Redondela,June 17,2023,Spain,-,Redondela
1870,Duel Against the Darkness,June 17,2023,United States,Ohio,Strongsville
1922,Anvil 2023,June 10,2023,Canada,Alberta,Calgary
1844,HEMAC Hemathlon 2023,June 10,2023,Greece,-,Athens
1841,The Marozzo Cup 2023,June 10,2023,Australia,Victoria,Melbourne
1837,IHFL Longsword Tournament - Dublin 2023,June 10,2023,Ireland,-,Dublin
1861,SERFO 2023,June 9,2023,United States,Georgia,Atlanta
1828,IFG Spring Fling 2023: Tournament of Roses,June 4,2023,United States,Oregon,Portland
1896,Kärntner Landesmeisterschaft 2023,June 4,2023,Austria,-,Friesach
1827,Albion Cup 2023,June 3,2023,United Kingdom,-,Marlow
1820,Holmgang 2023,June 3,2023,Sweden,-,Stockholm
1830,Unicorn Fight Club 2023,June 3,2023,New Zealand,-,Christchurch
1849,HEMA Mistrovství Ceské republiky v šermu dlouhým mecem 2023,June 3,2023,Czech Republic,-,Praha
1832,indes - RAW - KRViSE 2023,May 27,2023,Hungary,-,Budapest
1814,Bratislava En Garde! 2023,May 27,2023,Slovakia,-,Bratislava
1831,Battle Born III 2023,May 27,2023,United States,Nevada,Carson City
